@relation kpi_negocio

@attribute negocio {Sam´s Club, Superama, Walmart,eCommerce}
@attribute kpi {Description,Header}
@attribute departamento {46,	92,	9,	15,	3,	32,	26,	12,	6,	49,	21,	58,	7,	1,	50,	47,	18,	10,	41,	4,	19,	36,	13,	5,	22,	16,	53,	2,	17,	31,	60,	40,	11,	54,	20,	28,	14,	8,	51}
@attribute resultado real

@data
Sam´s Club,Description,ARTICULOS DE TOCADOR ,13
Sam´s Club,Description,ARTICULOS DE TOCADOR ,20
Sam´s Club,Description,CIGARROS Y DULCES,10
Sam´s Club,Description,CIGARROS Y DULCES,6
Superama,Header,CIGARROS Y DULCES,89.8
Superama,Header,CIGARROS Y DULCES,92.22
Superama,Header,CIGARROS Y DULCES,83.55
Superama,Header,CIGARROS Y DULCES,76.84
Superama,Header,CIGARROS Y DULCES,96.88
Superama,Header,CIGARROS Y DULCES,86.29
Superama,Header,CIGARROS Y DULCES,92.69
Superama,Header,CIGARROS Y DULCES,95.55
Superama,Header,CIGARROS Y DULCES,88.73
Superama,Header,CIGARROS Y DULCES,86.1
Superama,Header,CIGARROS Y DULCES,49.99
Superama,Header,CIGARROS Y DULCES,91.1
Superama,Header,CIGARROS Y DULCES,77.77
Superama,Header,CIGARROS Y DULCES,65.55
Superama,Header,CIGARROS Y DULCES,88.56
Superama,Header,CIGARROS Y DULCES,86.1
Superama,Header,CIGARROS Y DULCES,93.84
Superama,Header,CIGARROS Y DULCES,98.51
Superama,Header,CIGARROS Y DULCES,88.88
Superama,Header,CIGARROS Y DULCES,96.88
Superama,Header,CIGARROS Y DULCES,93.33
Superama,Header,CIGARROS Y DULCES,97.77
Superama,Header,CIGARROS Y DULCES,82.29
Superama,Header,CIGARROS Y DULCES,53.33
Superama,Header,CIGARROS Y DULCES,84.72
Superama,Header,CIGARROS Y DULCES,83.48
Superama,Header,CIGARROS Y DULCES,92.22
Superama,Header,CIGARROS Y DULCES,95.55
Superama,Header,CIGARROS Y DULCES,100
Superama,Header,CIGARROS Y DULCES,100
Superama,Header,CIGARROS Y DULCES,100
Superama,Header,CIGARROS Y DULCES,68.88
Superama,Header,CIGARROS Y DULCES,100
Superama,Header,PAPELES DOMESTICOS,78.88
Superama,Header,PAPELES DOMESTICOS,89.89
Superama,Header,PAPELES DOMESTICOS,79.99
Superama,Header,PAPELES DOMESTICOS,94.44
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,78.7
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,77.77
Superama,Header,PAPELES DOMESTICOS,85.55
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,96.29
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,89.99
Superama,Header,PAPELES DOMESTICOS,93.33
Superama,Header,PAPELES DOMESTICOS,95.55
Superama,Header,PAPELES DOMESTICOS,95.55
Superama,Header,PAPELES DOMESTICOS,96.38
Superama,Header,PAPELES DOMESTICOS,95.55
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,93.33
Superama,Header,PAPELES DOMESTICOS,94.22
Superama,Header,PAPELES DOMESTICOS,89.99
Superama,Header,PAPELES DOMESTICOS,99.44
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,99.62
Superama,Header,PAPELES DOMESTICOS,72.59
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,68.88
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,99
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,100
Superama,Header,PAPELES DOMESTICOS,86.66
Superama,Description,CIGARROS Y DULCES,16.11
Superama,Description,CIGARROS Y DULCES,17.68
Superama,Description,CIGARROS Y DULCES,7
Superama,Description,CIGARROS Y DULCES,6.66
Superama,Description,CIGARROS Y DULCES,11.2
Superama,Description,CIGARROS Y DULCES,15.83
Superama,Description,CIGARROS Y DULCES,29.42
Superama,Description,CIGARROS Y DULCES,17.28
Superama,Description,CIGARROS Y DULCES,6.93
Superama,Description,CIGARROS Y DULCES,14.08
Superama,Description,CIGARROS Y DULCES,13.5
Superama,Description,CIGARROS Y DULCES,31
Superama,Description,CIGARROS Y DULCES,8
Superama,Description,CIGARROS Y DULCES,4.78
Superama,Description,CIGARROS Y DULCES,7.71
Superama,Description,CIGARROS Y DULCES,17.5
Superama,Description,CIGARROS Y DULCES,17.3
Superama,Description,CIGARROS Y DULCES,15
Superama,Description,CIGARROS Y DULCES,7
Superama,Description,CIGARROS Y DULCES,20
Superama,Description,CIGARROS Y DULCES,11.66
Superama,Description,CIGARROS Y DULCES,11
Superama,Description,CIGARROS Y DULCES,13.85
Superama,Description,CIGARROS Y DULCES,4
Superama,Description,CIGARROS Y DULCES,10.12
Superama,Description,CIGARROS Y DULCES,7.28
Superama,Description,CIGARROS Y DULCES,17
Superama,Description,CIGARROS Y DULCES,5.66
Superama,Description,CIGARROS Y DULCES,9.5
Superama,Description,CIGARROS Y DULCES,7
Superama,Description,CIGARROS Y DULCES,12
Superama,Description,CIGARROS Y DULCES,4
Superama,Description,CIGARROS Y DULCES,8
Superama,Description,PAPELES DOMESTICOS,14.66
Superama,Description,PAPELES DOMESTICOS,12.9
Superama,Description,PAPELES DOMESTICOS,16
Superama,Description,PAPELES DOMESTICOS,22.62
Superama,Description,PAPELES DOMESTICOS,14.66
Superama,Description,PAPELES DOMESTICOS,11.5
Superama,Description,PAPELES DOMESTICOS,28
Superama,Description,PAPELES DOMESTICOS,25.6
Superama,Description,PAPELES DOMESTICOS,3
Superama,Description,PAPELES DOMESTICOS,12.33
Superama,Description,PAPELES DOMESTICOS,8
Superama,Description,PAPELES DOMESTICOS,28.14
Superama,Description,PAPELES DOMESTICOS,33.14
Superama,Description,PAPELES DOMESTICOS,28.42
Superama,Description,PAPELES DOMESTICOS,8.33
Superama,Description,PAPELES DOMESTICOS,6.8
Superama,Description,PAPELES DOMESTICOS,7.8
Superama,Description,PAPELES DOMESTICOS,12
Superama,Description,PAPELES DOMESTICOS,11
Superama,Description,PAPELES DOMESTICOS,6
Superama,Description,PAPELES DOMESTICOS,33.5
Superama,Description,PAPELES DOMESTICOS,9
Superama,Description,PAPELES DOMESTICOS,17.33
Superama,Description,PAPELES DOMESTICOS,14.8
Superama,Description,PAPELES DOMESTICOS,17.5
Superama,Description,PAPELES DOMESTICOS,19
Superama,Description,PAPELES DOMESTICOS,17.54
Superama,Description,PAPELES DOMESTICOS,8
Superama,Description,PAPELES DOMESTICOS,29.54
Superama,Description,PAPELES DOMESTICOS,9
Superama,Description,PAPELES DOMESTICOS,28
Superama,Description,PAPELES DOMESTICOS,26.6
Superama,Description,PAPELES DOMESTICOS,35.25
Superama,Description,PAPELES DOMESTICOS,30.12
Superama,Description,PAPELES DOMESTICOS,44.5
Superama,Description,PAPELES DOMESTICOS,12
Superama,Description,PAPELES DOMESTICOS,18.41
Superama,Description,PAPELES DOMESTICOS,32.66
Superama,Description,PAPELES DOMESTICOS,9
Superama,Description,PAPELES DOMESTICOS,15
Superama,Description,PAPELES DOMESTICOS,3.77
Superama,Description,PAPELES DOMESTICOS,22.8
Superama,Description,PAPELES DOMESTICOS,38.88
Superama,Description,PAPELES DOMESTICOS,29.85
Superama,Description,PAPELES DOMESTICOS,15.75
Superama,Description,PAPELES DOMESTICOS,10.6
Superama,Description,PAPELES DOMESTICOS,22
Superama,Description,PAPELES DOMESTICOS,8
Superama,Description,PAPELES DOMESTICOS,52
Superama,Description,PAPELES DOMESTICOS,51
Superama,Description,PAPELES DOMESTICOS,30.5
Superama,Description,PAPELES DOMESTICOS,7
Superama,Description,PAPELES DOMESTICOS,5
Walmart,Description,CIGARROS Y DULCES,9.33
Walmart,Description,CIGARROS Y DULCES,14.66
Walmart,Description,CIGARROS Y DULCES,15
Walmart,Description,CIGARROS Y DULCES,12.9
Walmart,Description,CIGARROS Y DULCES,8
Walmart,Description,CIGARROS Y DULCES,13
Walmart,Description,CIGARROS Y DULCES,29
Walmart,Description,CIGARROS Y DULCES,8.37
Walmart,Description,CIGARROS Y DULCES,9.66
Walmart,Description,CIGARROS Y DULCES,10.5
Walmart,Description,CIGARROS Y DULCES,6
Walmart,Description,CIGARROS Y DULCES,6
Walmart,Description,CIGARROS Y DULCES,9
Walmart,Description,CIGARROS Y DULCES,8
Walmart,Description,CIGARROS Y DULCES,13
Walmart,Description,CIGARROS Y DULCES,13
Walmart,Description,CIGARROS Y DULCES,8.6
Walmart,Description,CIGARROS Y DULCES,10
Walmart,Description,CIGARROS Y DULCES,9.75
Walmart,Description,CIGARROS Y DULCES,0
Walmart,Description,CIGARROS Y DULCES,12.5
Walmart,Description,CIGARROS Y DULCES,5
Walmart,Description,CIGARROS Y DULCES,7
Walmart,Description,CIGARROS Y DULCES,7
Walmart,Description,CIGARROS Y DULCES,7.5
Walmart,Description,CIGARROS Y DULCES,12.5
Walmart,Description,CIGARROS Y DULCES,18
Walmart,Header,CIGARROS Y DULCES,94.81
Walmart,Header,CIGARROS Y DULCES,90.12
Walmart,Header,CIGARROS Y DULCES,100
Walmart,Header,CIGARROS Y DULCES,90.3
Walmart,Header,CIGARROS Y DULCES,80.36
Walmart,Header,CIGARROS Y DULCES,100
Walmart,Header,CIGARROS Y DULCES,94.44
Walmart,Header,CIGARROS Y DULCES,83.6
Walmart,Header,CIGARROS Y DULCES,88.14
Walmart,Header,CIGARROS Y DULCES,84.99
Walmart,Header,CIGARROS Y DULCES,84.44
Walmart,Header,CIGARROS Y DULCES,80
Walmart,Header,CIGARROS Y DULCES,55.55
Walmart,Header,CIGARROS Y DULCES,93.33
Walmart,Header,CIGARROS Y DULCES,100
Walmart,Header,CIGARROS Y DULCES,100
Walmart,Header,CIGARROS Y DULCES,88.88
Walmart,Header,CIGARROS Y DULCES,100
Walmart,Header,CIGARROS Y DULCES,83.33
Walmart,Header,CIGARROS Y DULCES,74.44
Walmart,Header,CIGARROS Y DULCES,95.55
Walmart,Header,CIGARROS Y DULCES,84.44
Walmart,Header,CIGARROS Y DULCES,84.44
Walmart,Header,CIGARROS Y DULCES,100
Walmart,Header,CIGARROS Y DULCES,88.88
Walmart,Header,CIGARROS Y DULCES,100
Walmart,Header,CIGARROS Y DULCES,62.22
Sam´s Club,Header,MEDIAS,77
Sam´s Club,Header,MEDIAS,70
Sam´s Club,Header,MEDIAS,83
Sam´s Club,Header,MEDIAS,84
Sam´s Club,Header,MEDIAS,82
Sam´s Club,Header,MEDIAS,74
Sam´s Club,Header,MEDIAS,63
Sam´s Club,Header,MEDIAS,55
Sam´s Club,Header,MEDIAS,75
Sam´s Club,Header,MEDIAS,64
Sam´s Club,Header,MEDIAS,68
Sam´s Club,Header,MEDIAS,72
Sam´s Club,Header,MEDIAS,82
Sam´s Club,Header,MEDIAS,54
Sam´s Club,Header,MEDIAS,73
Sam´s Club,Header,MEDIAS,82
Sam´s Club,Header,MEDIAS,100
Sam´s Club,Header,MEDIAS,75
Sam´s Club,Header,MEDIAS,98
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,85
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,90
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,88
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,86
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,91
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,75
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,72
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,93
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,84
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,91
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,92
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,90
Sam´s Club,Header,TELAS/MERCERIA/ARTESANIAS,87
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,100
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,96
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,90
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,86
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,93
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,100
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,95
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,97
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,92
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,100
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,93
